Latitude,Longitude,predicted_prob,cell_id,Location
47.51562322942253,-122.32982678706803,0.5011312437710946,0,Grid cell 0 (prob: 0.50)
47.52404821165464,-122.32217119734233,0.5172058216766254,21,Grid cell 21 (prob: 0.52)
47.55110626756007,-122.31630231363695,0.5148821404745125,53,Grid cell 53 (prob: 0.51)
47.56000983503422,-122.32319932225299,0.5172595626307928,57,Grid cell 57 (prob: 0.52)
47.54643701026644,-122.32945285865001,0.5107696431624791,62,Grid cell 62 (prob: 0.51)
47.55094226475195,-122.3360192271193,0.5005653457795741,63,Grid cell 63 (prob: 0.50)
47.550932205308705,-122.32958198012659,0.5209051854591957,64,Grid cell 64 (prob: 0.52)
47.55542740013214,-122.329711123904,0.5096755360146824,66,Grid cell 66 (prob: 0.51)
47.55558600716228,-122.39991122348674,0.5097944017296551,90,Grid cell 90 (prob: 0.51)
47.56464375666833,-122.40694999228224,0.5194415744125124,95,Grid cell 95 (prob: 0.52)
47.532509636339476,-122.36225295333391,0.6627108074946678,126,Grid cell 126 (prob: 0.66)
47.54141041344667,-122.36915535040475,0.5611695556504519,140,Grid cell 140 (prob: 0.56)
47.54599510625656,-122.3626487702091,0.5368381751596781,141,Grid cell 141 (prob: 0.54)
47.550400710458845,-122.36942044167792,0.5510702667745029,143,Grid cell 143 (prob: 0.55)
47.55049026251508,-122.36278075469458,0.7828283297411233,144,Grid cell 144 (prob: 0.78)
47.5549854185379,-122.36291276195338,0.7351182747686815,145,Grid cell 145 (prob: 0.74)
47.541320489342795,-122.3757938694564,0.6356576994401261,147,Grid cell 147 (prob: 0.64)
47.5503107705748,-122.37606010578743,0.5048058665967255,151,Grid cell 151 (prob: 0.50)
47.550220442865026,-122.38269974692442,0.5103879274324362,152,Grid cell 152 (prob: 0.51)
47.55480591084843,-122.37619325840618,0.5169205769550677,154,Grid cell 154 (prob: 0.52)
47.55948057429773,-122.36304479199144,0.5119164978144218,168,Grid cell 168 (prob: 0.51)
47.56397572976728,-122.36317684481462,0.511394621884806,169,Grid cell 169 (prob: 0.51)
47.559301050857435,-122.3763264340017,0.5276331701584347,177,Grid cell 177 (prob: 0.53)
47.56379619057455,-122.37645963257992,0.6204898224456479,180,Grid cell 180 (prob: 0.62)
47.57691777848128,-122.40343154181294,0.5261862582667636,195,Grid cell 195 (prob: 0.53)
47.576810701070286,-122.41005302877092,0.6618836002581523,199,Grid cell 199 (prob: 0.66)
47.57972601144959,-122.40854110457339,0.8106610842658464,201,Grid cell 201 (prob: 0.81)
47.58094968481918,-122.40309005080539,0.6209128274231149,202,Grid cell 202 (prob: 0.62)
47.58392249224598,-122.40060392094811,0.5193338105452387,205,Grid cell 205 (prob: 0.52)
47.588858264033,-122.39451548860697,0.505043617544852,207,Grid cell 207 (prob: 0.51)
47.61107304534657,-122.34867395877716,0.544499244189053,233,Grid cell 233 (prob: 0.54)
47.61485917316351,-122.35554490427987,0.5228434972839414,235,Grid cell 235 (prob: 0.52)
47.63131331479657,-122.37181038580238,0.5016288453309806,247,Grid cell 247 (prob: 0.50)
47.631492313609286,-122.35851034210665,0.6505313145543375,254,Grid cell 254 (prob: 0.65)
47.63562788565792,-122.38524447914004,0.6315498684585926,259,Grid cell 259 (prob: 0.63)
47.63580845403704,-122.37194337845595,0.6029036503667841,260,Grid cell 260 (prob: 0.60)
47.63984921826329,-122.40533184439725,0.6274016917435253,281,Grid cell 281 (prob: 0.63)
47.657829604587,-122.40587563279766,0.5686260324083738,288,Grid cell 288 (prob: 0.57)
47.671413696786026,-122.4054575170961,0.537569699255499,308,Grid cell 308 (prob: 0.54)
47.64406862132025,-122.34669944829054,0.5052261500443658,320,Grid cell 320 (prob: 0.51)
47.658552195072346,-122.35264824191574,0.5989966768181084,326,Grid cell 326 (prob: 0.60)
47.654796765613206,-122.32617043350716,0.6282680301005291,328,Grid cell 328 (prob: 0.63)
47.663135935644085,-122.34612554515554,0.6772420354269794,338,Grid cell 338 (prob: 0.68)
47.67662142686259,-122.34651817204637,0.5333144764769369,345,Grid cell 345 (prob: 0.53)
47.68111658864262,-122.34664909295041,0.6043322576000467,346,Grid cell 346 (prob: 0.60)
47.6680682222915,-122.31298267372321,0.7361879609122365,358,Grid cell 358 (prob: 0.74)
47.67247676986557,-122.31976603768071,0.5958817141265804,359,Grid cell 359 (prob: 0.60)
47.67697196340611,-122.3198946344024,0.7723322167990492,361,Grid cell 361 (prob: 0.77)
47.68146715600254,-122.32002325334643,0.7647917250528271,365,Grid cell 365 (prob: 0.76)
